#DeCS_code	Term_Spanish	Synonyms
24746	integrinas	Integrinas
24747	cuidados intensivos neonatales	Cuidado Intensivo Neonatal|Cuidado Intensivo del Recién Nacido|Terapia Intensiva Neonatal|cuidados intensivos del recién nacido
24753	activación de canales iónicos	Activación del Canal Iónico
24754	ionomicina	Ionomicina
24755	iridociclitis	Ciclitis Heterocrómica|Iridociclitis|ciclitis heterocrómica
24756	neoplasias del iris	Neoplasias del Iris|tumores del iris
24757	josamicina	Josamicina
24758	queratinocitos	Queratinocitos
24759	queratodermia palmoplantar difusa	Queratodermia Palmar y Plantar Difusa|Síndrome de Thost-Unna|Síndrome de Unna-Thost|Tilosis|queratodermia palmar y plantar difusa|síndrome de Thost-Unna|síndrome de Unna-Thost|tilosis
24762	células asesinas activadas por linfocinas	Células AAL|Células Asesinas Activadas por Linfocinas|Células Asesinas Activadas por Linfoquinas|Células Asesinas Linfocino-Activadas|Células Killer Activadas por Linfocinas|Células Killer Activadas por Linfoquinas|Células LAK|células LAK|células asesinas linfocino-activadas
24763	kitasamicina	Kitasamicina|Leucomicina|leucomicina
24764	síndrome miasténico de Lambert-Eaton	Síndrome Miasténico de Lambert-Eaton|Síndrome de Eaton-Lambert|Síndrome de Lambert-Eaton Miasténico|síndrome de Eaton-Lambert
24765	síndrome de Langer-Giedion	Acrodisplasia V|Síndrome Tricorrinofalangiano Tipo II|Síndrome de Giedion-Langer|Síndrome de Langer-Giedion|acrodisplasia V|síndrome de Giedion-Langer|síndrome tricorrinofalángico tipo II
24766	análisis de los mínimos cuadrados	Análisis de los Mínimos Cuadrados|Refinamiento de Rietveld|refinamiento de Rietveld
24768	funciones de verosimilitud	Estimación de Máxima Verosimilitud|Funciones de Verosimilitud|estimadores de máxima verosimilitud
24769	modelos lineales	Modelos Lineales|Modelos Loglineales|Modelos de Registro Lineal|Regresión Lineal|modelos de registro lineal|modelos log lineales|regresión lineal
24770	desequilibrio de ligamiento	Desequilibrio de Ligamiento|desequilibrio de enlace
24772	modelos logísticos	Modelos Logit|Modelos Logísticos|Regresión Logística|modelos de regresión logística|modelos logit|regresión logística
24774	cloruro de magnesio	Cloruro de Magnesio
24775	neoplasias mamarias animales	Cáncer Mamario Animal|Cáncer de Mama en Animales|Neoplasias Mamarias Animales|Tumores Mamarios Animales|Tumores de Mama en Animales|cáncer mamario animal|tumores de mama en animales|tumores mamarios animales
24776	sinusitis maxilar	Sinusitis Maxilar
24777	mefloquina	Mefloquina
24778	1-metil-4-fenilpiridinio	1-Metil-4-fenilpiridinio|Ciperquat|ciperquat
24779	1-metil-4-fenil-1,2,3,6-tetrahidropiridina	1-Metil-4-fenil-1,2,3,6-Tetrahidropiridina|MPTP
24780	metribolona	Metiltrienolona|Metribolona|metiltrienolona
24782	microespectrofotometría	Microespectrofotometría
24783	mifepristona	Mifepristona
24784	antígenos de histocompatibilidad secundarios	Antígenos Menores de Histocompatibilidad|Antígenos de Histocompatibilidad Menor|Péptidos Menores de Histocompatibilidad|antígenos secundarios de histocompatibilidad|péptidos de histocompatibilidad secundarios|péptidos secundarios de histocompatibilidad
24785	miocamicina	Miocamicina|Miokamicina|Ponsinomicina|miokamicina|ponsinomicina
24786	miosis	Miosis|Miosis Pupilar|contracción pupilar|miosis pupilar
24787	topografía muaré	Topografía Muare|Topografía de Moiré|topografía de sombreado muaré
24789	terapia de movilización pasiva continua	Terapia CPM|Terapia Pasiva Continua de Movimiento|terapia CPM
24791	micotoxicosis	Envenamiento por Hongos|Envenenamiento Fúngico|Intoxicación Fúngica|Intoxicación por Hongos|Intoxicación por Ingestión de Micotoxinas|Micotoxicosis|envenenamiento fúngico|envenenamiento por hongos|intoxicación fúngica|intoxicación por hongos|intoxicación por ingestión de micotoxinas
24792	midriasis	Midriasis
24794	obstrucción nasal	Obstrucción Nasal
24795	casi ahogamiento	Ahogamiento Inminente
24798	nisoldipina	Nisoldipina|Nisoldipino|nisoldipino
24799	nitrosación	Nitrosación
24800	nocodazol	Nocodazol
24801	distribución normal	Distribución Gausiana|Distribución Normal|distribución de Gauss|distribución gaussiana
24802	Territorio del Norte	Northern Territory
24803	Territorios del Noroeste	Northwest Territories
24804	matriz nuclear	Andamiaje Nuclear|Matriz Nuclear|andamiaje nuclear
24805	5'-nucleotidasa	5'-AMP Nucleotidasa|5'-AMP nucleotidasa|5'-Nucleotidasa|AMP-fosfatasa|Antígenos CD73|Ecto-5'-Nucleotidasa|Fosfatasa AMP|Fosfatasa Adenilato|Fosfatasa Citidilato|Fosfatasa IMP|Fosfatasa Inosinato|Fosfatasa Timidino|IMP-fosfatasa|IMP-nucleotidasa|Nucleotidasa IMP|Nucleotidasa Pirimidina 5-|Nucleotidasa Uridilato 5-|adenilato-fosfatasa|antígenos CD73|citidilato-fosfatasa|ecto-5'-nucleotidasa|inosinato-fostasa|pirimidina 5'-nucleotidasa|timidina fosfatasa|uridilato 5'-nucleotidasa
24806	evaluación nutricional	Evaluación Nutricional|Índice Nutricional Pronóstico (INP)|índice nutricional pronóstico (INP)
24807	errores por variación del observador	Errores Dependientes del Observador|Errores de Observación|Sesgo del Observador|Variaciones Dependientes del Interobservador|Variaciones Dependientes del Intraobservador|Variaciones Dependientes del Observador|desvíos de un mismo observador|desvíos interobservadores|errores de observación|errores dependientes del observador|sesgo del observador|variación interobservador|variación intrabservador
24808	hipotensión ocular	Hipotensión Ocular|Hipotonía Ocular|hipotonía ocular
24809	trastornos de la motilidad ocular	Alteración de los Movimientos de Seguimiento Lento|Deficiencia del Seguimiento Ocular Uniforme|Desviación Oblicua|Insuficiencia de Convergencia|Oftalmoplejía Internuclear|Opsoclono|Opsoclonía|Síndrome de Parinaud|Síndrome de la Vaina Tendinosa|Síndrome de la Vaina del Tendón Oblicuo Superior|Síndrome de la Vaina del Tendón de Brown|Tortícolis Ocular|Trastornos de la Motilidad Ocular|alteración de los movimientos de seguimiento lento|deficiencia del seguimiento ocular uniforme|desviación oblicua|insuficiencia de convergencia|oftalmoplejía internuclear|opsoclonía|síndrome de Parinaud|síndrome de la vaina del tendón de Brown|síndrome de la vaina del tendón del músculo oblicuo superior|tortícolis ocular|trastornos de los movimientos oculares
24810	enfermedades del nervio oculomotor	Enfermedades Craneales del III Nervio|Enfermedades del III Nervio Craneal|Enfermedades del III Par Craneal|Enfermedades del Nervio Oculomotor|Paralisis del Nervio Oculomotor|Parálisis del Tercer Nervio|Parálisis del Tercer Par Craneal|enfermedades del III nervio craneal|parálisis del tercer nervio|parálisis del tercer par craneal
24811	cociente de probabilidades	Cociente de Probabilidades Relativas|Desigualdad Relativa|Odds Ratio|Oportunidad Relativa|Oportunidades Relativas|Posibilidad Relativa|Posibilidades Relativas|Producto Cruzado|RO|Razón de Diferencia|Razón de Odds|Razón de Oportunidades|Razón de Oposiciones|Razón de Posibilidades|Razón de Productos Cruzados|Razón de Riesgo|Razón del Producto Cruzado|Relación Referencia-Producto|cociente de productos cruzados|cociente de riesgos|odds ratio|oportunidad relativa|oportunidades relativas|posibilidad relativa|posibilidades relativas|razón de diferencia|razón de odds|razón de oportunidades|razón de oposiciones|razón de posibilidades|razón de probabilidades relativas
24812	vehículos a motor todoterreno	Bicicletas Motorizadas|Bicicletas para Tierra|Minibicicletas|Vehículos Recreacionales a Motor|Vehículos Todoterreno|Vehículos a Motor Todoterreno|Vehículos de Tres Ruedas|Vehículos para la Nieve
24813	oncocercosis ocular	Ceguera de Río|Oncocercosis Ocular|ceguera de río|oncocerciasis ocular
24815	proteína oncogénica p21(ras)	Proteína Oncogénica p21 ras|Proteína Oncogénica p21(ras)|Proteína de Oncogén p21(ras)|Proteína p21(ras) Oncogénica|p21(v-Ha-ras)|p21(v-Ki-ras)|proteína oncogénica p21 ras
24817	proteínas oncogénicas de fusión	Proteínas de Fusión Oncogénica
24818	drusas del disco óptico	Drusa del Disco Óptico|Drusa del Nervio Óptico|Drusas del Disco Óptico|Drusas del Nervio Óptico|drusas del nervio óptico
24819	compuestos organotecnecio	Compuestos de Organotecnecio|compuestos orgánicos de tecnecio
24820	osteocalcina	Gla-Proteína Ósea|Osteocalcina|Proteína Gla del Hueso|Proteína de Unión a Calcio Dependiente de Vitamina K|Proteína de Unión a Calcio Vitamina K-Dependiente|Proteína Ósea Dependiente de Vitamina K|Proteína Ósea Vitamina K-Dependiente|proteína Gla ósea|proteína de unión al calcio dependiente de vitamina K|proteína ósea dependiente de vitamina K
24821	osteocondroma	Condrosteoma|Exostosis Cartilaginosa|Exostosis Osteocartilaginosa|Osteocondroma|condrosteoma|exostosis cartilaginosa|exostosis osteocartilaginosa
24822	osteonectina	Glicoproteína PSARC|Glicoproteínas SPARC|Osteonectina|glicoproteína SPARC
24823	osteoporosis posmenopáusica	Osteoporosis Posmenopáusica|Osteoporosis Postmenopáusica|Pérdida Ósea Perimenopáusica|Pérdida Ósea Posmenopáusica|osteoporosis postmenopáusica|pérdida ósea perimenopáusica|pérdida ósea posmenopáusica|pérdida ósea postmenopáusica
24826	panuveítis	Panuveítis
24827	pars planitis	Pars Planitis
24828	Pasteurellaceae	Histophilus
24829	prótesis de pene	Pene Artificial|Prótesis de Pene|pene artificial
24830	pentostatina	(R)-3-(2-desoxi-beta-D-eritro-pentofuranosil)-3,6,7,8-tetrahidro-imidazo(4,5-d)(1,3)diazepin-8-ol|2'-Desoxicoformicina|2'-desoxicoformicina|CI 825|CI-825|CI825|Co-Vidarabina|Desoxicoformicina|Imidazo(4,5-d)(1,3)diazepin-8-ol, 3-(2-desoxi-beta-D-eritro-pentofuranosil)-3,4,7,8-tetrahidro-, (R)-|NSC 218321|NSC-218321|NSC218321|Nipent|Pentostatina|desoxicoformicina
24831	péptido T	Péptido T|Péptido T del VIH|péptido T del VIH
24833	fonoforesis	Fonoforesis
24834	efecto placebo	Efecto Placebo
24835	plagio	Plagio
24836	inactivadores del plasminógeno	Inactivadores Plasminogénicos|Inhibidores de Activador Plasminogénico|inhibidores del activadores del plasminógeno
24837	activación plaquetaria	Activación Plaquetaria
24838	distribución de Poisson	Distribución de Poisson
24839	factores desencadenantes	Factores Desencadenantes|Factores Precipitantes|factores precipitantes
24841	propofol	Disoprofol|Propofol|disoprofol
24842	modelos de riesgos proporcionales	Modelos de Riesgos|Modelos de Riesgos Proporcionales|modelos de riesgos
24843	proteínas protozoarias	Proteína de Protozoo|Proteínas Protozoarias|Proteínas de Protozoos
24844	práctica de la salud pública	Práctica de Salud Pública
24846	deportes de raqueta	Badminton|Deportes de Raqueta|Lacrosse|Racquetball|bádminton|lacrosse
24847	imagen radiográfica por emisión de doble fotón	Imagen Radiográfica por Emisión de Doble Fotón|Radiografía por Emisión Digital de Doble Fotón
24848	radiografía intervencionista	Radiografía Intervencional
24849	radioinmunoprecipitación	Análisis de Radioinmunoprecipitación|Ensayo Farr|Ensayo de Radioinmunoprecipitación|análisis de radioinmunoprecipitación|ensayo de Farr
24850	radiología intervencionista	Radiología Intervencional
24851	ventriculografía radioisotópica	Ventriculografía con Radionúclidos|gammagrafía ventricular
24852	ensayos clínicos controlados aleatorizados como asunto	Ensayos Clínicos Aleatorios|Ensayos Clínicos Controlados Aleatorios como Asunto|Ensayos Clínicos Controlados Aleatorios como Tema|Ensayos Clínicos Controlados Randomizados como Asunto|Ensayos Controlados Aleatorios|ensayos clínicos aleatorios|ensayos clínicos con distribución aleatoria|ensayos clínicos controlados aleatorios como tema|ensayos clínicos controlados aleatorizados
24853	receptores de citoadhesina	Receptores de Citoadhesina|Receptores de Glicoproteína de Matriz Extracelular|receptores de glicoproteína de matriz extracelular
24854	receptores del VIH	Receptores del HTLV-III|Receptores del VIH|Receptores del Virus del SIDA|receptores del HTVL-III|receptores del virus del SIDA
24855	receptores de adhesión leucocitaria	Familia del Receptor Leu-CAM|Receptores de Adhesión de Leucocito|familia de receptores Leu-CAM|receptores de adhesión de leucocitos
24856	receptores de antígenos muy tardío	Complejo de Proteína VLA|Receptores VLA|Receptores de Antígeno muy Tardío|complejo de proteína VLA|receptores VLA
24857	soluciones para rehidratación	Soluciones para Rehidratación|soluciones rehidratadoras|soluciones rehidratantes
24858	escalas de valor relativo	Escala de Valor Relativo Basada en Recursos|Escalas de Valor Relativo|Listas de Valor Relativo|escala de valor relativo basada en los recursos|esquemas de valor relativo
24860	mecánica respiratoria	Mecanismos Respiratorios|Mecánica Respiratoria|Mecánica de Respiración|mecanismos respiratorios|mecánica de la respiración
24861	anomalías del sistema respiratorio	Anomalía del Aparato Respiratorio|Anomalía del Sistema Respiratorio|Anomalías del Aparato Respiratorio|Anomalías del Sistema Respiratorio|Malformaciones del Aparato Respiratorio|Malformaciones del Sistema Respiratorio|anomalía del aparato respiratorio|anomalía del sistema respiratorio|anomalías del aparato respiratorio|malformaciones del aparato respiratorio|malformaciones del sistema respiratorio
24862	transporte respiratorio	Transporte Respiratorio
24863	drusas retinianas	Drusa Retiniana|Drusas Retinianas
24864	displasia retiniana	Displasia Retiniana
24865	síndrome de necrosis retiniana aguda	Necrosis Retiniana Aguda|Síndrome de Necrosis Retiniana Aguda|necrosis retiniana aguda
24866	neovascularización retiniana	Neovascularización Retiniana
24867	proteínas retrovíricas oncogénicas	Proteínas Oncogénicas de Retroviridae|proteínas de retroviridae oncogénicas|proteínas oncogénicas de retroviridae|proteínas oncogénicas retrovíricas
24868	síndrome de Rett	Autismo, Demencia, Ataxia y Pérdida Intencionada del Uso de la Mano|Hiperamonemia Cerebroatrófica|Síndrome de Rett|autismo, demencia, ataxia y pérdida intencionada del empleo de la mano|hiperamoniemia cerebroatrófica
24870	mala conducta científica	Datos Fraudulentos|Deshonestidad Científica|Fraude Científica|Mala Conducta Científica|Negligencia en la Investigación|datos fraudulentos|deshonestidad científica|fraude científico|mala conducta en investigación|Ética en Publicación|ética en las publicaciones
24871	escleroterapia	Escleroterapia
24872	sesgo de selección	Sesgo de Muestreo|Sesgo de Selección|sesgo de muestreo
24873	inhibidores de serina proteinasas	Antagonistas de Serina Proteinasa|Inhibidores Endógenos de Serina Proteinasa|Inhibidores Exógenos de Serina Proteinasa|Inhibidores de Serina Endopeptidasa|Inhibidores de Serina Proteasa|Inhibidores de Serina Proteinasa|Inhibidores de Serino Endopeptidasa|Inhibidores de Serino Proteasa|Inhibidores de Serino Proteinasa|antagonistas de serina proteinasas|inhibidores de serina endopeptidasas|inhibidores de serina proteasas|inhibidores de serina proteinasas endógenos|inhibidores de serina proteinasas exógenos
24874	estudios seroepidemiológicos	Estudios Seroepidemiológicos|Seroepidemiología|Seroprevalencia|seroprevalencia
24875	serpinas	Inhibidores de Serpina Peptidasa|Inhibidores de Serpina Proteasa|Serpinas|Superfamilia de las Serpinas|inhibidores de serpina peptidasa|inhibidores de serpina proteasa|superfamilia de las serpinas
24876	prueba bactericida del suero	Prueba Bactericida de Suero|Test Bactericida de Suero|Test de Schlichter|prueba de Schlichter|test bactericida de suero|test de Schlichter
24877	método simple ciego	Estudio Simple Ciego|Estudio con Ciego Único|Estudio con Una Ocultación|Método Simple Ciego|Método Simple-Ciego|Método Simpleciego|Prueba con Ciego Único|estudio con enmascaramiento simple|estudio simple ciego|método ciego único|método con una ocultación|método simple-ciego|método simpleciego|prueba con ciego único
24878	2,3,4,5-tetrahidro-7,8-dihidroxi-1-fenil-1H-3-benzacepina	2,3,4,5-Tetrahidro-7,8-dihidroxi-1-fenil-1H-3-benzazepina|SK&F-38393
24879	envejecimiento de la piel	Arrugamiento de la Piel|Envejecimiento Solar de la Piel|Envejecimiento de la Piel|Fotoenvejecimiento de la Piel|arrugas cutáneas|envejecimiento solar de la piel|fotoenvejecimiento cutáneo
24880	titulación a punto final de prueba cutánea	Titulación a Punto Final de Prueba Cutánea|Titulación de Evaporación Completa de Dilución Seriada|Titulación de Evaporación Completa de Test Cutáneo|titulación a punto final con diluciones seriadas|valoración a punto final de prueba cutánea
24882	sinusitis esfenoidal	Sinusitis del Esfenoides|sinusitis de los senos del esfenoides|sinusitis del esfenoides
24883	espiramicina	Adipato de Espiramicina|Espiramicina|adipato de espiramicina
24884	distribuciones estadísticas	Distribuciones Estadísticas
24885	stents	Cánula Implantable|Cánulas Implantables|Estents|Férula Implantable|Férulas Implantables|Implante Endoluminal|Stents|prótesis endoluminal
24886	características de los estudios epidemiológicos	Características de Estudios Epidemiológicos|Características de los Estudios Epidemiológicos
24887	detección del abuso de sustancias	Detección de Abuso de Sustancias|Test de Abuso de Drogas|Test de Abuso de Sustancias|Test de Drogas Ilícitas|Test de Drogas Indebidas|Test de Uso Indebido de Drogas|Test de Uso Indebido de Sustancias|Tests de Drogas de la Calle|pruebas de abuso de sustancias|pruebas de drogas de la calle|pruebas de drogas ilícitas|pruebas del abuso de drogas
24888	abuso de sustancias por vía intravenosa	Abuso de Drogas Intravenosas|Abuso de Drogas Parenterales|Abuso de Sustancias por Vía Intravenosa|Uso Indebido de Drogas Intravenosas|Uso Indebido de Drogas Parenterales|abuso de drogas intravenosas|abuso de drogas parenterales|drogadicción intravenosa|uso indebido de drogas intravenosas
24889	esponjas quirúrgicas	Compresa de Algodón Quirúrgica|Masa de Algodón Quirúrgica|Tapones Quirúrgicos de Gaza
24890	análisis de supervivencia	Análisis de Supervivencia
24892	tratamiento trombolítico	Terapia Fibrinolítica|Terapia Trombolítica|Trombólisis Terapéutica|terapia fibrinolítica|trombólisis terapéutica
24893	dispositivos de expansión tisular	Dispositivos de Expansión Tisular|Dispositivos de Expansión de Tejido|Dispositivos de Expansión de Tejidos|Expansores Tisulares|Expansores de Tejidos|Expansores de Tejidos al Vacío|dispositivos de expansión de tejido|dispositivos de expansión de tejidos|expansores de tejidos|expansores de tejidos al vacío|expansores tisulares
24894	expansión tisular	Expansión de Tejido
24895	tomografía computarizada por emisión de fotón único	SPECT|TAC de Emisión de Fotón Simple|TAC de Emisión de Fotón Único|TAC de emisión monofotónica|TAC por emisión de fotón único|TAC por emisión monofotónica|TC de Emisión de Fotón Simple|TC de Emisión de Fotón Único|Tomografía Computarizada Axial por Emisión de Fóton Simple|Tomografía Computarizada Axial por Emisión de Fóton Único|Tomografía Computarizada de Emisión de Fotón Simple|Tomografía Computarizada de Emisión de Fotón Único|Tomografía Radioisotópica Computarizada de Emisión de Fotón Simple|Tomografía Radioisotópica Computarizada de Emisión de Fotón Único|escaneo SPECT|tomografía SPECT
24896	tomógrafos computarizados por rayos X	Escáner de TC por Rayos X|Escáners de TAC por Rayos X|Escáners de Tomografía Computarizada por Rayos X|Explorador de TC por Rayos X|Exploradores de Tomografía Computarizada|Exploradores de Tomografía Computarizada por Rayos X|Tomógrafo de TC por Rayos X|Tomógrafos Computarizados por Rayos X|Tomógrafos de TAC por Rayos X|Tomógrafos de TC por Rayos X|tomógrafos de rayos X
24897	pupila tónica	Pupila Tónica|Pupila de Adie|pupila de Adie
24898	activación transcripcional	Activación Transcripcional|Activación del Gen|Inducción Genética|Transactivación|activación génica|inducción genética|transactivación genética
24899	transactivadores	Factor Transactor Nuclear|Factores Transactores|Transactivadores|factor transactor nuclear|factores transactores
24900	trasplante heterotópico	Trasplantación Heterotópica|Trasplante Heterotópico|trasplantación heterotópica
24901	índices de gravedad de los traumatismos	Índices de Gravedad del Trauma
24902	tricosantina	Compuesto Q|Tricosantina|alfatricosantin|compuesto Q|tricosantina alfa
24903	combinación trimetoprima y sulfametoxazol	Combinación Trimetoprim y Sulfametoxazol|Combinación Trimetoprim-Sulfametoxazol|Combinación de Trimetropim y Sulfametoxazol|Cotrimoxazol|combinación de trimetoprim y sulfametoxazol|combinación farmacológica de trimetoprima y sulfametoxazol|combinación trimetoprim-sulfametoxasol|combinación trimetoprim-sulfametoxazol|cotrimoxazol
24904	tilosina	Tilosina
24907	regulación positiva	Alta Regulación|Regulación hacia Arriba|Regulación hacia Arriba Receptora|regulación positiva de receptores
24908	uveítis intermedia	Ciclitis Crónica|Uveítis Intermedia|ciclitis crónica
24909	uveítis posterior	Uveítis Posterior
24910	uveítis supurativa	Uveítis Supurativa
24911	ventiladores de presión negativa	Respiradores Pulmonares de Presión Negativa|Ventiladores Pulmonares de Presión Negativa|Ventiladores de Presión Negativa|respiradores pulmonares de presión negativa|ventiladores pulmonares de presión negativa
24912	ventriculografía de primer paso	Angiografía de Radionúclido de Primer Paso|Ventriculografía de Primer Paso|Ventriculografía de Radionúclido de Primer Paso|angiografía de primer paso con radionúclidos
24913	enfermedades vestibulares	Enfermedades Vestibulares
24915	proteínas estructurales víricas	Proteínas Estructurales Virales
24916	vida perjudicial	Derecho de no Nacer|Nacimiento no Justificado|Vida no Justificada|eugenesia fallida|nacimiento culposo|nacimiento injusto|negligencia en el diagnóstico prenatal|responsabilidad civil por el diagnóstico prenatal|vida injusta|vida injustificada
24917	Territorio de Yukón	El Yukón
24918	accesorios de fontanería	Accesorios de Fontanería|Accesorios de Plomería|Grifos|Sifones|Trampas para Arena|Trampas para Grasas|accesorios de plomería|grifos|sifones|trampas para arena|trampas para grasas
24919	acidez del agua	Acidez del Agua
24920	acidez del suelo	Acidez del Suelo|Suelos Ácidos|suelos ácidos
24921	acondicionamiento de lodos	Acondicionamiento de Lodos
24922	acondicionamiento de residuos sólidos	Acondicionamiento de Residuos Sólidos
24924	aireación	Aeración|Aireación
24925	aireadores	Aeradores|Aireadores
24926	usos del suelo	Usos del Suelo
24927	agronomía	Agronomía|Ingeniería Agrícola
24928	agua ácida de las minas	Agua Ácida de Minas
24929	agua ácida	Agua Acidulada|Agua Agria|agua agria
24931	agua corrosiva	Agua Corrosiva
24932	agua costera	Agua Costera
24933	agua bruta	Agua Cruda
24934	agua de enfriamiento	Agua de Enfriamiento
24935	agua de lluvia	Agua de Escorrentía|Agua de Lluvia
24936	agua desionizada	Agua Desionizada
24937	agua destilada	Agua Destilada
24938	agua estancada	Agua Durmiente|Agua Estancada|Agua Muerta|Agua Pantanosa|agua muerta|agua pantanosa
24939	agua esterilizada	Agua Esterilizada
24940	aguas grises	Agua Gris|Agua de Reuso|Aguas Grises|água gris
24942	agua industrial	Agua Industrial
24944	agua pesada (salud ambiental)	Agua Pesada (Salud Ambiental)
24945	agua pura	Agua Pura
24946	agua para actividades recreativas	Agua Recreacional
24947	aguas termales	Aguas Termales
24948	alcalinidad del agua	Agua Alcalina|Alcalinidad del Agua
24949	alcalinidad del suelo	Alcalinidad del Suelo|Suelos Alcalinos
24950	alcantarillado combinado	Alcantarillado Combinado|Sistemas de Alcantarillado Combinado
24951	alcantarillado pluvial	Alcantarillado Pluvial|Sistemas de Alcantarillado Pluvial
24953	aliviaderos	Aliviaderos
24954	almacenamiento de agua	Agua Almacenada|Almacenamiento de Agua|agua almacenada
24955	almacenamiento de residuos sólidos	Almacenamiento de Residuos Sólidos
24957	aluminato de sodio	Aluminato de Sodio
24959	análisis bacteriológico	Análisis Bacteriológico
24960	análisis cuantitativo	Análisis Cuantitativo
24961	análisis de aguas	Análisis de Agua|Análisis de Aguas|Análisis de las Aguas|Análisis del Agua|análisis de agua|análisis de las aguas
24962	análisis del aire	Análisis del Aire
24963	análisis del suelo	Análisis del Suelo
24964	análisis físico	Análisis Físico
24965	análisis fisicoquímico	Análisis Fisicoquímico
24966	análisis microbiológico	Análisis Microbiológico
24967	análisis parasitológico	Análisis Parasitológico
24968	análisis químico	Análisis Químico
24969	análisis virológico	Análisis Virológico
24971	anticorrosivos	Anticorrosivos|agente anticorrosión
24972	aparatos sanitarios	Aparato Sanitario|Aparatos Sanitarios|Bañeras|Bidet|Duchas|Equipamiento para el Baño|Excusados|Inodoros|Lavamanos|Mingitorio|Mobiliario de Baño|Orinal|Orinales|Retretes|Sanitarios|Sillas de Baño|Silletas|aparato sanitario|duchas|equipamiento de baño|equipamiento para el baño|inodoros|mobiliario de baño|orinal|orinales|sanitarios|sillas de baño|váter
24973	aplicación en el terreno	Aplicación en el Terreno|aplicación al suelo
24974	arcilla	Arcilla|Halloysita|arcillas|halloysita|halloysitas
24975	arena	Arena
24976	ariete hidráulico	Ariete Hidráulico
24978	autodepuración del agua	Autopurificación del Agua|Capacidad Asimilativa
24979	autopurificación del aire	Autopurificación del Aire|Purificación del Aire
24980	balance hídrico	Balance Hídrico
24984	barrido de lodos	Barrido de Lodos
24985	barrido y limpieza vial	Barrido y Limpieza de Vías|Limpieza de Vías|limpieza vial
24988	biología del suelo	Biología del Suelo
24990	bocas de tormenta	Boca de Alcantarilla|Boca de Lobo|Boca de Tormenta|Bocas de Alcantarilla|Bocas de Lobo|Bocas de Tormenta|boca de alcantarilla|boca de lobo|boca de tormenta|bocas de alcantarilla|bocas de lobo
24991	bombas	Bomba|Bombas|bomba
24992	bombas centrífugas	Bombas Centrífugas
24993	bombas de desplazamiento positivo	Bombas de Desplazamiento Positivo|Bombas de Pistón|bombas de pistón
24994	bombas rotativas	Bombas de Engranajes Rotativos
24995	bombas de flujo axial	Bombas de Flujo Axial
24996	bombas de flujo mixto	Bombas de Flujo Mixto
24997	bombas manuales	Bombas de Mano|bombas de mano
24998	bombas de pozo	Bombas de Pozos
24999	bombas de tornillo	Bombas de Tornillo
25000	bombas para aguas residuales	Bombas para Aguas Residuales
25001	bombas para lodos	Bombas para Lodos
25002	bombas solares	Bombas Solares
25003	bombas sumergibles	Bombas Sumergibles
25004	vertederos a cielo abierto	Basurales|Botaderos a Cielo Abierto|Vertedero Clandestino|Vertederos a Cielo Abierto|basureros a cielo abierto|vertedero clandestino
25005	bromación (salud ambiental)	Bromación (Salud Ambiental)
25008	calidad del suelo	Calidad del Suelo
25009	cámaras	Cajas|Cámaras
25011	camiones cisterna	Camiones Cisterna
25012	extractores	Campanas Extractoras
25013	campos de percolación	Campo de Percolación|Campos de Percolación
25014	canales de irrigación	Canales de Irrigación
25015	canales interceptores	Canal Interceptor|Canales Interceptores|canal interceptor
25016	cantidad de agua	Cantidad de Agua|Volumen de Agua
25017	captación de agua del mar	Captación de Agua de Mar
25018	captación de aguas subterráneas	Captación de Aguas Subterráneas
25019	captación de aguas superficiales	Captación de Aguas Superficiales
25020	captación de agua de precipitaciones	Captación de Precipitaciones
25022	captación de agua de lagos	Captación de Agua de Lagos|Captación de Agua en Lagos|Captación en Lagos|captación de agua en lagos
25023	captación de agua de manantiales	Captación en Manantiales
25025	características bacteriológicas del agua	Características Bacteriológicas del Agua
25026	características biológicas del agua	Características Biológicas del Agua
25027	características de las aguas residuales	Características de Aguas Residuales
25028	características de los residuos sólidos	Características de Residuos Sólidos
25029	características del agua	Características del Agua|Naturaleza del Agua|Propiedades del Agua
25030	características del aire	Características Físicas del Aire|Características Químicas del Aire|Características del Aire|Naturaleza del Aire|Propiedades del Aire
25031	características del suelo	Características Físicas del Suelo|Características Químicas del Suelo|Características del Suelo|Naturaleza del Suelo|Propiedades del Suelo
25033	características físicas del agua	Características Físicas del Agua
25034	características fisicoquímicas del agua	Características Fisicoquímicas del Agua|Propiedades Fisicoquímicas del Agua
25035	características microbiológicas del agua	Características Microbiológicas del Agua
25036	características organolépticas del agua	Características Organolépticas del Agua
25037	características químicas del agua	Características Químicas del Agua|Propiedades Químicas del Agua
25038	características virológicas del agua	Características Virológicas del Agua
25039	carbón activado (salud ambiental)	Carbón Activado (Salud Ambiental)
25040	carbono orgánico disuelto	Carbón Orgánico Disuelto
25041	carros manuales de limpieza	Carritos Manuales de Limpieza
25042	tabla de Ringelman	Carta de Ringelman|Escala de Ringelman
25044	caudal de agua de un río	Caudal (Hidrografía)|Caudal Fluvial|Caudal de Agua del Rio|Caudal de un Río|Caudal del Río|caudal (hidrografía)|caudal de un río|caudal del río|caudal fluvial
25045	cavitación	Cavitación
25046	cenizas	Cenizas
25047	centrifugadoras	Centrifugadoras|Centrífugas|centrífugas
25048	chatarra	Chatarra
25052	clarificación química	Clarificación Química
